#,Pillar,Issue,Severity,File,Effort,Traffic Impact,Revenue Impact,Time to Impact,Business Value
1,Content Pruning,15 empty 'coming soon' category pages indexable (duplicate thin content),High,"tools/{AI,Converters,Cooking,Crypto,Finance,Fun,Health,Image,Misc,PDF,Prompts,SEO,Statistics,Time,Video}/index.html",S (<4hr),Protects index quality / avoids cannibalization,Low,Immediate,Risk / Traffic
2,Internal Linking,6 featured-tool cards + nav anchors link to '#' / missing sections,High,"index.html:115,135,155,175,195,215; layout.js:94,217-219",S (<4hr),CTR/UX recovery,Medium,Immediate,Traffic / Brand
3,Technical SEO,Missing robots.txt + sitemap.xml + llms.txt,Medium,"/robots.txt, /sitemap.xml, /llms.txt (new)",S (<4hr),Faster discovery of all pages,Low,1-4 weeks,Traffic
4,Performance,3 hero PNGs (~1.5MB) no preload/WebP; Tailwind Play CDN render-blocking,High,"index.html:23,37; layout.js:232",M (1-3d),LCP improvement / mobile speed,Medium,1-4 weeks,Traffic / UX
5,Semantic SEO,No JSON-LD anywhere (Org, WebSite+SearchAction, SoftwareApplication, FAQ),Medium,"all pages (inject via layout.js)",M (1-3d),Rich-result eligibility,Medium,1-4 weeks,Traffic / Brand
6,Social SEO,Missing og:image/og:url/twitter:card on all pages; only 3 partial OG tags on homepage,Medium,"index.html:9-12; all pages",S (<4hr),Social share CTR,Low,Immediate,Brand
7,E-E-A-T,Footer socials are generic placeholders; no contact email; fake reCAPTCHA; dead newsletter form,Medium,"layout.js:161-180,193-195",S (<4hr),Trust signals / entity verification,Medium,Immediate,Brand / Risk
8,Technical SEO,No canonical on any page,High,All 23 pages,S (<4hr),Duplicate-content protection,Low,Immediate,Risk
9,On-Page,False '100+ Useful Tools' stat; thin tool/category pages,Medium,"index.html:264-269",S (<4hr),Trust/UX,Medium,Immediate,Brand / Risk
10,On-Page,Duplicate-pattern meta descriptions on category pages,Medium,"tools/**/index.html",S (<4hr),SERP CTR,Low,1-4 weeks,Traffic
11,Content Pruning,press/editorial-policies.html orphaned 'under construction' (24 words),Low,press/editorial-policies.html,S (<4hr),None today,Low,Immediate,Risk
12,Repo Hygiene,Unrelated openapi.yaml (railway-stations.org) + all-urls.txt committed,Low,"/openapi.yaml, /all-urls.txt",S (<4hr),None,Low,Immediate,Risk / Compliance
